0,idle
2,idle
4,idle
6,idle
8,idle
10,idle
12,idle
14,idle
16,idle
18,idle
20,idle
22,idle
24,idle
26,idle
28,idle
30,idle
32,idle
34,idle
36,push
38,push
40,push
42,push
44,push
46,push
48,push
50,push
52,push
54,push
56,push
58,push
60,push
62,push
64,push
66,push
68,push
70,push
72,push
74,push
76,push
78,idle
80,idle
82,idle
84,idle
86,idle
88,idle
90,idle
92,idle
94,idle
96,idle
98,idle
100,idle
102,idle
104,idle
106,idle
108,idle
110,idle
112,idle
114,idle
116,idle
118,idle
120,idle
122,idle
124,idle
126,idle
128,idle
130,idle
